Time(sec),VGRF_left_s1,VGRF_left_s2,VGRF_left_s3,VGRF_left_s4,VGRF_left_s5,VGRF_left_s6,VGRF_left_s7,VGRF_left_s8,VGRF_right_s1,VGRF_right_s2,VGRF_right_s3,VGRF_right_s4,VGRF_right_s5,VGRF_right_s6,VGRF_right_s7,VGRF_right_s8,Total_force_left,Total_force_right
0.0100,213.62,222.86,50.16,150.48,12.76,31.57,0,5.06,11.33,4.07,0,0,0,0,4.95,0,686.51,20.35
0.0200,204.71,217.25,48.95,155.76,12.76,33,0,6.82,11.33,4.07,0,0,0,0,4.95,0,679.25,20.35
0.0300,198,211.53,46.31,161.04,12.76,36.08,0,6.82,11.33,4.07,0,0,0,0,4.95,0,672.54,20.35
0.0400,191.29,203.94,44.99,168.19,12.76,37.51,0,6.82,10.12,4.07,0,0,0,0,3.3,0,665.5,17.49
0.0500,182.38,198.22,43.78,173.91,12.76,40.59,0,6.82,11.33,4.07,0,0,0,0,3.3,0,658.46,18.7
0.0600,175.67,190.63,42.46,183.59,12.76,45.1,0,6.82,10.12,4.07,0,0,0,0,0,0,657.03,14.19
0.0700,166.76,183.15,39.93,193.16,12.76,48.07,0,6.82,11.33,4.07,0,0,0,0,0,0,650.65,15.4
0.0800,157.74,175.56,38.61,202.84,12.76,51.04,0,8.58,11.33,4.07,0,0,0,0,0,0,647.13,15.4
0.0900,151.14,167.97,37.29,212.41,11.55,57.09,0,8.58,10.12,4.07,0,0,0,0,0,0,646.03,14.19
0.1000,142.12,160.6,35.97,224.07,11.55,61.71,0,8.58,11.33,4.07,0,0,0,0,0,0,644.6,15.4
0.1100,133.21,151.58,34.76,235.07,10.23,68.09,0,10.23,10.12,4.07,0,0,0,0,0,0,643.17,14.19
0.1200,124.3,142.56,33.44,247.94,8.91,76.01,0,10.23,11.33,4.07,0,0,0,0,0,0,643.39,15.4
0.1300,113.19,131.78,32.12,262.68,6.38,85.47,0,11.99,11.33,4.07,0,0,0,0,0,0,643.61,15.4
0.1400,103.07,121,30.91,277.42,3.85,96.58,0,13.75,11.33,4.07,0,0,0,0,0,0,646.58,15.4
0.1500,93.28,107.03,28.27,292.71,0,109.23,0,15.4,11.33,4.07,0,0,0,0,0,0,645.92,15.4
0.1600,81.51,95.92,26.95,308,0,122.54,6.93,20.57,10.12,4.07,0,0,0,0,0,0,662.42,14.19
0.1700,69.74,83.38,24.42,323.29,0,137.83,15.62,24.09,11.33,4.07,0,0,0,0,0,0,678.37,15.4
0.1800,54.56,70.73,23.1,334.84,0,154.77,29.59,27.5,11.33,4.07,0,0,0,0,0,0,695.09,15.4
0.1900,39.16,56.54,20.57,344.63,0,170.5,41.91,30.91,11.33,4.07,0,0,0,0,0,0,704.22,15.4
0.2000,28.93,44.88,17.93,352.33,0,185.46,50.6,37.84,12.65,4.07,0,0,0,0,0,0,717.97,16.72
0.2100,22.11,33.33,16.72,358.16,0,200.42,59.4,43.01,15.18,4.07,0,0,0,0,0,0,733.15,19.25
0.2200,18.7,24.31,14.08,360.14,0,215.38,65.56,49.94,18.92,4.07,2.53,0,0,0,0,0,748.11,25.52
0.2300,15.29,19.25,12.87,358.16,0,228.58,69.63,55.11,26.51,5.5,5.06,0,0,0,0,0,758.89,37.07
0.2400,13.64,15.4,11.55,352.33,0,241.67,71.72,61.05,44.33,8.25,7.59,0,0,0,0,0,767.36,60.17
0.2500,11.88,14.08,8.91,338.8,0,251.02,69.63,67.1,105.16,20.68,8.91,0,0,0,0,0,761.42,134.75
0.2600,11.88,14.08,8.91,317.57,0,260.48,67.65,73.04,178.31,46.86,11.44,0,0,0,0,0,753.61,236.61
0.2700,10.23,11.55,7.7,285.01,0,266.09,63.47,79.09,207.13,72.82,16.61,0,0,0,0,0,723.14,296.56
0.2800,8.47,11.55,6.38,240.57,0,266.09,59.4,83.05,230.78,99.55,26.84,4.73,0,0,0,0,675.51,361.9
0.2900,8.47,10.23,6.38,183.59,0,267.96,57.64,88.99,241.89,120.78,38.39,11.88,0,0,0,0,623.26,412.94
0.3000,6.82,10.23,6.38,136.4,0,264.22,55.88,95.04,254.87,136.73,48.62,17.93,0,0,0,0,574.97,458.15
0.3100,6.82,8.91,5.06,93.5,0,253,55.88,100.98,254.87,144.65,53.79,28.71,0,0,0,0,524.15,482.02
0.3200,5.06,8.91,5.06,56.76,0,228.58,55.88,109.01,251.13,152.57,58.19,39.38,0,9.68,0,0,469.26,510.95
0.3300,3.41,8.91,3.85,31.24,0,185.46,57.64,115.06,251.13,160.49,63.03,45.43,0,16.72,6.6,2.64,405.57,546.04
0.3400,3.41,7.7,3.85,23.76,3.85,124.3,57.64,117.04,249.26,166.87,64.57,47.85,0,22.22,13.2,4.07,341.55,568.04
0.3500,0,7.7,3.85,20.02,3.85,76.01,55.88,110.99,251.13,173.36,66.22,51.37,0,25.08,18.26,5.39,278.3,590.81
0.3600,0,6.38,3.85,16.28,3.85,48.07,52.36,95.04,254.87,179.85,69.41,55,0,29.26,21.56,5.39,225.83,615.34
0.3700,0,6.38,3.85,12.43,0,28.49,45.32,73.04,264.11,187.99,72.6,57.42,0,30.58,24.86,6.71,169.51,644.27
0.3800,0,5.06,3.85,8.69,0,18.04,36.63,49.94,271.48,196.13,74.14,60.28,0,33.44,26.51,6.71,122.21,668.69
0.3900,0,3.85,3.85,7.48,0,10.45,27.94,29.26,278.96,200.97,75.79,63.69,0,34.76,26.51,6.71,82.83,687.39
0.4000,0,3.85,3.85,6.16,0,5.94,19.14,20.57,284.57,207.46,77.33,65.34,0,36.19,26.51,8.14,59.51,705.54
0.4100,0,2.53,3.85,4.95,0,2.97,10.45,13.75,288.31,210.76,78.98,68.75,0,38.94,28.27,8.14,38.5,722.15
0.4200,0,2.53,3.85,4.95,0,0,3.41,6.82,290.18,213.95,78.98,72.05,0,40.37,29.92,8.14,21.56,733.59
0.4300,0,2.53,3.85,3.74,0,0,0,0,294.03,217.25,78.98,75.46,0,43.12,29.92,8.14,10.12,746.9
0.4400,0,0,3.85,3.74,0,0,0,0,292.16,218.9,78.98,77.11,0,44.55,29.92,8.14,7.59,749.76
0.4500,0,0,3.85,2.42,0,0,0,0,288.31,218.9,77.33,78.87,0,45.98,28.27,9.46,6.27,747.12
0.4600,0,0,3.85,2.42,0,0,0,0,284.57,218.9,75.79,80.52,0,45.98,28.27,9.46,6.27,743.49
0.4700,0,0,3.85,0,0,0,0,0,278.96,217.25,74.14,83.93,0,47.3,28.27,9.46,3.85,739.31
0.4800,0,0,5.06,0,0,0,0,0,271.48,213.95,70.95,85.58,0,48.73,28.27,9.46,5.06,728.42
0.4900,0,0,5.06,0,0,0,0,0,264.11,209.11,69.41,87.34,0,48.73,28.27,9.46,5.06,716.43
0.5000,0,0,3.85,0,0,0,0,0,258.5,207.46,67.76,88.99,0,50.16,28.27,9.46,3.85,710.6
0.5100,0,0,3.85,0,0,0,0,0,254.87,204.27,66.22,92.4,0,51.48,28.27,9.46,3.85,706.97
0.5200,0,0,3.85,0,0,0,0,11.99,249.26,200.97,66.22,94.05,0,52.91,28.27,9.46,15.84,701.14
