Time(sec),VGRF_left_s1,VGRF_left_s2,VGRF_left_s3,VGRF_left_s4,VGRF_left_s5,VGRF_left_s6,VGRF_left_s7,VGRF_left_s8,VGRF_right_s1,VGRF_right_s2,VGRF_right_s3,VGRF_right_s4,VGRF_right_s5,VGRF_right_s6,VGRF_right_s7,VGRF_right_s8,Total_force_left,Total_force_right
0.0100,305.91,120.12,149.49,56.87,40.15,58.63,39.71,22.88,0,0,0,0,8.25,37.95,74.36,57.53,793.76,178.09
0.0200,316.14,128.48,156.97,60.83,42.35,60.83,41.25,24.64,0,0,0,0,8.25,28.49,62.48,44.44,831.49,143.66
0.0300,328.9,134.75,164.34,65.23,44.44,65.34,42.68,26.4,0,0,0,0,5.5,21.34,53.9,33.88,872.08,114.62
0.0400,336.71,141.02,166.87,67.43,44.44,67.54,44.22,26.4,0,0,0,0,0,16.61,46.2,23.21,894.63,86.02
0.0500,344.63,145.2,171.82,71.83,44.44,69.74,44.22,28.27,0,0,0,0,0,14.19,35.97,19.03,920.15,69.19
0.0600,349.8,151.47,171.82,76.23,46.53,72.05,44.22,30.03,0,0,0,0,0,11.88,23.1,10.56,942.15,45.54
0.0700,352.44,153.56,171.82,78.43,46.53,72.05,44.22,30.03,3.41,0,0,0,0,9.46,15.4,6.27,949.08,34.54
0.0800,352.44,153.56,171.82,80.63,46.53,72.05,44.22,30.03,3.41,0,4.73,0,0,9.46,12.76,6.27,951.28,36.63
0.0900,349.8,153.56,169.29,80.63,46.53,74.25,44.22,30.03,3.41,0,0,0,0,7.04,10.23,4.18,948.31,24.86
0.1000,344.63,153.56,164.34,80.63,46.53,74.25,44.22,30.03,3.41,0,4.73,0,0,7.04,7.7,0,938.19,22.88
0.1100,339.35,153.56,159.39,82.83,46.53,72.05,42.68,30.03,3.41,0,4.73,0,0,4.73,7.7,0,926.42,20.57
0.1200,331.54,151.47,152.02,85.03,46.53,72.05,42.68,30.03,3.41,0,4.73,0,0,4.73,5.06,0,911.35,17.93
0.1300,323.84,151.47,147.07,87.34,46.53,74.25,42.68,30.03,3.41,0,4.73,0,0,4.73,0,0,903.21,12.87
0.1400,313.61,149.38,139.59,89.54,44.44,74.25,42.68,28.27,3.41,0,4.73,0,0,0,0,0,881.76,8.14
0.1500,305.91,149.38,134.64,93.94,46.53,74.25,41.25,30.03,3.41,0,4.73,0,0,0,0,0,875.93,8.14
0.1600,298.21,149.38,132.22,98.34,44.44,76.56,41.25,30.03,3.41,0,4.73,0,0,0,0,0,870.43,8.14
0.1700,287.98,147.29,127.27,102.74,44.44,78.76,41.25,30.03,3.41,0,4.73,0,0,0,0,0,859.76,8.14
0.1800,277.86,147.29,122.32,109.34,44.44,83.27,41.25,30.03,3.41,0,4.73,0,0,0,0,0,855.8,8.14
0.1900,267.41,147.29,119.79,118.25,46.53,87.67,41.25,30.03,3.41,0,4.73,0,0,0,0,0,858.22,8.14
0.2000,257.07,147.29,114.84,124.96,46.53,92.18,42.68,30.03,3.41,0,4.73,0,0,0,0,0,855.58,8.14
0.2100,249.26,147.29,114.84,131.67,46.53,96.69,42.68,30.03,3.41,0,0,0,0,0,0,0,858.99,3.41
0.2200,238.92,147.29,110,138.38,46.53,101.2,42.68,30.03,3.41,0,4.73,0,0,0,0,0,855.03,8.14
0.2300,231.11,145.2,110,145.09,46.53,105.6,44.22,30.03,3.41,0,4.73,0,0,0,0,0,857.78,8.14
0.2400,220.88,143.11,107.69,154.11,46.53,112.42,45.76,30.03,3.41,0,0,0,0,0,0,0,860.53,3.41
0.2500,211.2,141.02,102.96,160.82,48.62,118.69,45.76,30.03,3.41,0,4.73,0,0,0,0,0,859.1,8.14
0.2600,201.52,136.84,100.54,167.64,48.62,122.98,47.3,30.03,0,0,0,0,0,0,0,0,855.47,0
0.2700,189.31,132.66,98.23,174.68,48.62,131.45,50.38,31.79,3.41,0,4.73,0,0,0,0,0,857.12,8.14
0.2800,177.21,126.39,93.5,181.83,50.82,137.72,51.92,33.55,3.41,0,0,0,0,0,0,0,852.94,3.41
0.2900,162.58,122.21,86.35,191.29,50.82,146.19,55,35.31,0,0,0,0,0,0,0,0,849.75,0
0.3000,150.26,113.85,81.73,198.33,52.91,156.86,58.3,37.07,0,0,0,0,0,0,0,0,849.31,0
0.3100,135.52,107.14,77,205.37,52.91,165.33,61.93,38.83,0,0,0,0,0,0,0,0,844.03,0
0.3200,120.78,96.14,69.85,212.52,55,176.33,65.56,40.59,0,0,0,0,0,0,0,0,836.77,0
0.3300,104.28,87.34,62.81,217.25,55,185.13,70.95,44.11,0,0,0,0,0,0,0,0,826.87,0
0.3400,86.68,74.14,53.24,221.98,57.2,191.73,78.21,49.39,0,0,0,0,0,0,5.06,0,812.57,5.06
0.3500,73.37,60.94,43.56,224.18,59.4,200.64,85.47,56.54,0,0,0,0,0,0,0,0,804.1,0
0.3600,62.37,50.6,36.3,226.49,61.71,209.44,94.49,62.59,0,0,0,0,0,0,5.06,0,803.99,5.06
0.3700,51.04,40.92,29.04,226.49,64.02,216.04,103.62,76.67,0,0,4.73,0,0,0,5.06,0,807.84,9.79
0.3800,41.8,33.11,24.2,226.49,64.02,222.75,110.88,88.77,0,0,4.73,0,0,0,5.06,0,812.02,9.79
0.3900,34.76,29.15,19.36,221.98,64.02,229.35,118.47,96.91,0,0,4.73,0,0,0,5.06,0,814,9.79
0.4000,32.45,23.32,16.94,219.56,64.02,235.95,126.5,109.01,3.41,0,4.73,0,0,0,7.7,0,827.75,15.84
0.4100,27.83,17.49,14.52,210.1,61.71,240.35,134.64,117.26,5.17,6.93,4.73,0,0,0,5.06,0,823.9,21.89
0.4200,25.52,15.51,14.52,200.64,59.4,244.75,138.6,127.71,8.69,6.93,4.73,0,0,0,5.06,0,826.65,25.41
0.4300,23.21,15.51,12.1,186.56,55,249.15,142.67,140.25,12.21,9.35,4.73,0,0,0,5.06,0,824.45,31.35
0.4400,23.21,15.51,12.1,169.95,50.82,253.55,142.67,146.52,15.73,11.66,4.73,0,0,0,5.06,0,814.33,37.18
0.4500,20.9,13.64,12.1,154.11,44.44,257.95,142.67,154.88,24.53,18.7,7.15,8.47,0,4.73,5.06,0,800.69,68.64
0.4600,20.9,13.64,9.68,133.98,40.15,260.15,142.67,161.15,50.93,35.09,9.57,11.22,0,4.73,5.06,0,782.32,116.6
0.4700,18.59,11.66,9.68,111.54,33.88,262.35,138.6,165.33,103.73,65.67,16.72,19.8,0,7.04,10.23,0,751.63,223.19
0.4800,18.59,11.66,9.68,91.74,27.5,260.15,136.62,169.62,138.49,98.78,26.29,42.35,8.25,21.34,15.4,6.27,725.56,357.17
0.4900,16.17,9.68,7.26,69.63,23.21,255.75,132.55,176.44,159.72,123.09,40.7,56.54,11,37.95,17.93,6.27,690.69,453.2
0.5000,16.17,7.7,7.26,49.94,19.03,244.75,130.57,181.06,182.27,135.52,55.11,59.4,13.75,52.25,25.63,10.56,656.48,534.49
0.5100,11.55,5.83,7.26,34.43,14.74,224.95,124.52,183.37,193.82,138.05,63.25,65.67,19.25,59.4,41.03,16.94,606.65,597.41
0.5200,9.24,5.83,4.84,25.85,12.65,189.53,116.49,183.37,196.24,138.05,68.75,65.67,22,64.79,46.2,16.94,547.8,618.64
0.5300,4.62,3.85,4.84,18.92,10.56,146.19,103.62,181.06,193.82,138.05,71.39,68.75,24.75,70.18,53.9,21.12,473.66,641.96
0.5400,0,0,4.84,13.75,10.56,105.6,85.47,176.44,198.55,140.58,76.89,71.94,24.75,75.68,59.51,25.41,396.66,673.31
0.5500,0,0,0,10.34,10.56,74.25,67.32,159.06,210.1,145.64,87.78,75.02,27.5,83.82,71.39,29.59,321.53,730.84
0.5600,0,0,0,6.82,10.56,52.69,55,115.17,228.91,153.12,98.67,75.02,33,89.21,80.3,33.88,240.24,792.11
0.5700,0,0,0,5.17,8.47,41.03,47.3,70.62,248.6,160.6,112.42,78.21,35.75,97.35,92.29,40.26,172.59,865.48
0.5800,0,0,0,0,6.27,31.24,39.71,38.83,265.87,165.66,120.78,78.21,41.25,100.1,104.17,42.35,116.05,918.39
0.5900,0,0,0,0,0,23.43,32.01,22.88,275.77,170.61,129.14,81.29,44,105.49,113.08,46.53,78.32,965.91
0.6000,0,0,0,0,0,17.49,24.42,12.32,278.19,173.03,131.89,84.48,46.75,108.24,121.77,48.73,54.23,993.08
0.6100,0,0,0,3.41,0,13.64,16.72,0,275.77,175.45,137.5,87.56,49.5,113.63,130.46,50.82,33.77,1020.69
0.6200,0,0,0,3.41,0,9.68,12.21,0,273.24,175.45,137.5,90.75,52.25,119.13,139.15,55.11,25.3,1042.58
0.6300,0,0,0,3.41,0,9.68,10.67,0,265.87,175.45,137.5,93.94,52.25,124.52,147.84,55.11,23.76,1052.48
0.6400,0,0,0,3.41,0,7.81,7.59,0,260.92,175.45,137.5,97.02,55.11,130.02,153.67,57.53,18.81,1067.22
0.6500,0,0,0,3.41,0,5.83,6.05,0,251.13,173.03,134.64,100.21,58.08,132.77,159.5,57.53,15.29,1066.89
0.6600,0,0,0,3.41,0,3.85,2.97,0,238.81,170.61,131.89,103.29,58.08,135.41,165.33,59.95,10.23,1063.37
0.6700,0,0,0,3.41,0,3.85,0,0,228.91,168.19,129.14,106.48,58.08,138.16,168.3,62.37,7.26,1059.63
0.6800,0,0,0,3.41,0,0,0,0,217.03,160.6,123.53,109.56,58.08,140.91,171.27,62.37,3.41,1043.35
0.6900,0,0,0,3.41,0,0,0,0,203.17,155.65,117.92,109.56,61.05,143.66,174.24,62.37,3.41,1027.62
0.7000,0,0,0,0,0,0,0,0,189.2,148.06,109.67,112.75,61.05,146.3,177.21,64.9,0,1009.14
0.7100,0,0,0,0,0,0,0,0,175.34,140.58,104.17,115.94,61.05,149.05,180.18,64.9,0,991.21
0.7199,0,0,0,0,0,0,0,0,159.72,133.1,98.67,119.02,61.05,151.8,180.18,67.32,0,970.86
0.7299,0,0,0,0,0,0,0,0,146.96,125.51,93.28,122.21,61.05,154.55,183.15,67.32,0,954.03
0.7399,0,0,0,0,0,0,0,0,136.4,120.56,87.78,125.4,61.05,157.19,186.12,69.74,0,944.24
0.7499,0,0,0,0,0,0,0,0,123.75,113.08,82.39,125.4,64.02,159.94,189.09,69.74,0,927.41
0.7599,0,0,0,0,0,0,0,0,115.28,108.24,76.89,128.48,64.02,162.69,192.06,72.16,0,919.82
0.7699,0,0,0,0,0,0,0,0,107.58,101.2,71.39,131.67,66.99,165.44,198.11,72.16,0,914.54
0.7799,0,0,0,0,0,0,0,0,99.99,98.78,68.75,134.86,66.99,168.19,204.05,72.16,0,913.77
0.7899,0,0,0,0,0,0,0,0,94.16,94.05,63.25,134.86,66.99,170.83,207.02,74.69,0,905.85
0.7999,0,0,0,0,0,0,0,0,86.57,89.32,60.5,137.94,66.99,176.22,212.96,77.11,0,907.61
0.8099,0,0,0,0,0,0,0,0,80.85,84.59,57.75,141.13,69.96,178.86,221.98,79.53,0,914.65
0.8199,0,0,0,0,0,0,0,0,75.13,79.86,52.69,141.13,69.96,184.25,227.59,81.95,0,912.56
0.8299,0,0,0,0,0,0,0,0,67.43,72.82,50.27,147.51,72.93,189.64,236.06,81.95,0,918.61
0.8399,0,0,0,0,0,0,0,0,59.84,68.09,45.43,150.59,72.93,195.03,241.67,86.9,0,920.48
0.8499,0,0,0,0,0,0,0,0,50.93,60.94,40.7,153.78,72.93,200.42,250.14,89.32,0,919.16
0.8599,0,0,0,0,0,0,0,0,42.13,51.59,33.44,156.97,75.9,205.81,255.86,91.74,0,913.44
0.8699,0,0,0,0,0,0,0,0,35.09,44.55,28.71,160.05,75.9,211.2,264.33,96.69,0,916.52
0.8799,0,0,0,0,0,0,0,0,29.81,35.09,23.87,166.43,75.9,219.23,269.94,99.11,0,919.38
0.8899,0,0,0,0,0,0,0,0,26.29,28.05,21.56,169.62,72.93,224.73,275.66,101.53,0,920.37
0.8999,0,0,0,0,0,0,0,0,24.53,23.43,19.14,169.62,72.93,230.34,281.49,106.48,0,927.96
