Time(sec),VGRF_left_s1,VGRF_left_s2,VGRF_left_s3,VGRF_left_s4,VGRF_left_s5,VGRF_left_s6,VGRF_left_s7,VGRF_left_s8,VGRF_right_s1,VGRF_right_s2,VGRF_right_s3,VGRF_right_s4,VGRF_right_s5,VGRF_right_s6,VGRF_right_s7,VGRF_right_s8,Total_force_left,Total_force_right
0.0100,206.58,104.17,47.19,39.71,32.56,69.19,38.28,22.55,112.09,43.89,36.08,35.2,14.74,45.32,20.13,16.72,560.23,324.17
0.0200,202.51,104.17,47.19,41.8,32.56,71.5,40.59,22.55,107.25,41.8,34.1,35.2,14.74,47.85,22.11,16.72,562.87,319.77
0.0300,200.53,104.17,47.19,41.8,34.65,73.81,42.79,22.55,104.94,41.8,34.1,35.2,14.74,47.85,22.11,16.72,567.49,317.46
0.0400,198.44,104.17,47.19,41.8,34.65,76.23,42.79,22.55,102.52,39.71,34.1,35.2,14.74,47.85,22.11,16.72,567.82,312.95
0.0500,198.44,104.17,45.21,43.89,34.65,76.23,45.1,24.75,97.79,39.71,34.1,35.2,14.74,47.85,22.11,16.72,572.44,308.22
0.0600,198.44,104.17,45.21,43.89,34.65,78.54,45.1,24.75,95.37,37.62,32.23,35.2,14.74,47.85,24.2,16.72,574.75,303.93
0.0700,198.44,104.17,45.21,43.89,34.65,78.54,45.1,24.75,92.95,37.62,32.23,35.2,14.74,47.85,24.2,16.72,574.75,301.51
0.0800,198.44,104.17,45.21,45.98,34.65,78.54,45.1,24.75,88.22,35.53,32.23,32.67,14.74,50.38,24.2,16.72,576.84,294.69
0.0900,198.44,106.15,45.21,45.98,34.65,80.85,45.1,24.75,83.38,33.44,30.36,32.67,14.74,47.85,24.2,16.72,581.13,283.36
0.1000,200.53,106.15,45.21,45.98,34.65,80.85,45.1,24.75,81.07,33.44,30.36,32.67,14.74,47.85,24.2,19.47,583.22,283.8
0.1100,200.53,106.15,45.21,45.98,34.65,80.85,45.1,24.75,78.65,33.44,30.36,32.67,14.74,47.85,24.2,16.72,583.22,278.63
0.1200,202.51,108.13,47.19,45.98,34.65,78.54,45.1,24.75,76.23,31.35,30.36,32.67,14.74,47.85,22.11,16.72,586.85,272.03
0.1300,204.49,108.13,47.19,45.98,34.65,78.54,45.1,24.75,73.81,31.35,28.49,32.67,14.74,47.85,22.11,16.72,588.83,267.74
0.1400,204.49,110.22,47.19,45.98,34.65,78.54,45.1,24.75,73.81,29.26,28.49,32.67,14.74,47.85,24.2,16.72,590.92,267.74
0.1500,206.58,110.22,47.19,45.98,34.65,78.54,42.79,24.75,71.5,29.26,28.49,32.67,14.74,47.85,22.11,16.72,590.7,263.34
0.1600,210.65,112.42,49.17,45.98,34.65,78.54,42.79,24.75,71.5,29.26,28.49,32.67,14.74,45.32,22.11,16.72,598.95,260.81
0.1700,212.63,112.42,49.17,45.98,34.65,78.54,42.79,24.75,71.5,29.26,28.49,32.67,14.74,45.32,22.11,16.72,600.93,260.81
0.1800,216.7,114.62,49.17,45.98,34.65,76.23,42.79,24.75,69.08,29.26,28.49,32.67,14.74,45.32,22.11,16.72,604.89,258.39
0.1900,218.68,116.82,49.17,45.98,34.65,76.23,42.79,24.75,69.08,29.26,28.49,32.67,14.74,45.32,22.11,16.72,609.07,258.39
0.2000,216.7,116.82,49.17,45.98,34.65,76.23,42.79,24.75,69.08,27.17,28.49,30.14,14.74,45.32,22.11,16.72,607.09,253.77
0.2100,216.7,116.82,49.17,48.07,34.65,78.54,45.1,24.75,66.66,27.17,26.51,30.14,14.74,42.79,22.11,16.72,613.8,246.84
0.2200,212.63,114.62,49.17,48.07,36.85,80.85,45.1,24.75,66.66,27.17,28.49,32.67,14.74,45.32,22.11,16.72,612.04,253.88
0.2300,210.65,114.62,49.17,48.07,36.85,80.85,47.3,24.75,64.35,27.17,26.51,32.67,14.74,45.32,24.2,16.72,612.26,251.68
0.2400,208.56,112.42,47.19,48.07,36.85,83.27,49.61,27.06,61.93,25.08,26.51,32.67,14.74,45.32,24.2,16.72,613.03,247.17
0.2500,204.49,112.42,47.19,50.16,39.05,83.27,51.81,27.06,59.51,25.08,26.51,32.67,14.74,47.85,24.2,19.47,615.45,250.03
0.2600,200.53,110.22,47.19,50.16,39.05,85.58,54.12,27.06,57.2,25.08,26.51,30.14,14.74,47.85,26.18,16.72,613.91,244.42
0.2700,196.46,108.13,45.21,52.25,41.25,90.31,56.32,27.06,54.89,22.99,24.64,32.67,14.74,47.85,26.18,19.47,616.99,243.43
0.2800,190.3,106.15,45.21,54.34,41.25,92.62,60.94,29.26,52.58,22.99,24.64,32.67,14.74,50.38,26.18,19.47,620.07,243.65
0.2900,184.25,104.17,43.23,54.34,41.25,95.04,63.36,29.26,47.96,22.99,22.77,32.67,14.74,50.38,26.18,19.47,614.9,237.16
0.3000,178.2,100.21,41.25,56.54,43.34,99.66,65.67,31.57,45.76,20.9,22.77,32.67,14.74,50.38,28.27,19.47,616.44,234.96
0.3100,172.15,98.23,41.25,58.63,43.34,102.08,68.09,31.57,43.45,20.9,20.9,30.14,14.74,52.91,28.27,19.47,615.34,230.78
0.3200,166.1,96.25,39.27,60.72,43.34,106.7,70.4,33.77,41.14,18.81,20.9,32.67,14.74,52.91,28.27,19.47,616.55,228.91
0.3300,160.05,94.27,37.29,62.81,45.54,109.12,70.4,33.77,36.52,18.81,18.92,30.14,14.74,52.91,28.27,19.47,613.25,219.78
0.3400,154.11,92.29,35.42,65.01,45.54,111.43,72.82,33.77,34.32,16.72,18.92,30.14,14.74,52.91,28.27,19.47,610.39,215.49
0.3500,152.13,90.31,35.42,65.01,45.54,113.85,75.13,33.77,32.01,16.72,17.05,30.14,14.74,52.91,28.27,19.47,611.16,211.31
0.3600,148.17,88.33,33.44,67.1,45.54,113.85,75.13,36.08,29.7,16.72,17.05,27.72,14.74,52.91,28.27,19.47,607.64,206.58
0.3700,146.19,88.33,33.44,67.1,45.54,116.16,75.13,36.08,29.7,14.63,17.05,27.72,14.74,50.38,28.27,19.47,607.97,201.96
0.3800,148.17,90.31,33.44,67.1,45.54,113.85,72.82,36.08,27.39,14.63,15.18,27.72,14.74,50.38,28.27,19.47,607.31,197.78
0.3900,150.15,92.29,33.44,69.19,45.54,113.85,72.82,33.77,27.39,14.63,15.18,27.72,14.74,50.38,26.18,19.47,611.05,195.69
0.4000,152.13,92.29,35.42,69.19,45.54,111.43,70.4,33.77,27.39,14.63,15.18,27.72,14.74,47.85,26.18,19.47,610.17,193.16
0.4100,156.09,94.27,35.42,69.19,45.54,111.43,70.4,33.77,27.39,14.63,15.18,27.72,14.74,47.85,24.2,16.72,616.11,188.43
0.4200,160.05,96.25,37.29,69.19,45.54,109.12,70.4,33.77,25.08,14.63,15.18,25.19,14.74,45.32,24.2,16.72,621.61,181.06
0.4300,166.1,100.21,39.27,67.1,43.34,109.12,68.09,33.77,25.08,14.63,15.18,25.19,14.74,42.79,22.11,16.72,627,176.44
0.4400,174.13,104.17,41.25,67.1,43.34,106.7,65.67,33.77,27.39,14.63,15.18,25.19,14.74,40.26,20.13,16.72,636.13,174.24
0.4500,182.27,110.22,43.23,67.1,43.34,102.08,63.36,31.57,27.39,14.63,15.18,25.19,12.65,35.2,18.15,13.86,643.17,162.25
0.4600,194.37,116.82,45.21,65.01,41.25,99.66,58.63,31.57,27.39,14.63,15.18,25.19,12.65,30.14,16.06,13.86,652.52,155.1
0.4700,208.56,123.42,49.17,62.81,41.25,95.04,56.32,31.57,27.39,14.63,15.18,25.19,12.65,27.72,14.08,11.11,668.14,147.95
0.4800,220.77,130.02,53.13,60.72,39.05,92.62,51.81,29.26,25.08,14.63,13.2,25.19,10.56,22.66,10.01,11.11,677.38,132.44
0.4900,234.85,136.62,55.11,60.72,36.85,90.31,49.61,29.26,25.08,14.63,13.2,22.66,10.56,20.13,8.03,11.11,693.33,125.4
0.5000,246.95,145.42,59.51,58.63,36.85,85.58,47.3,29.26,20.57,12.54,11.33,22.66,10.56,17.6,8.03,8.36,709.5,111.65
0.5100,259.16,152.02,61.71,58.63,36.85,85.58,47.3,29.26,18.26,8.36,9.46,20.13,8.47,15.07,8.03,8.36,730.51,96.14
0.5200,269.17,156.42,64.02,58.63,36.85,85.58,47.3,29.26,13.64,8.36,9.46,17.6,8.47,10.01,6.05,5.5,747.23,79.09
0.5300,275.22,163.02,66.22,58.63,36.85,85.58,47.3,29.26,11.44,6.27,5.61,10.01,6.27,7.48,3.96,0,762.08,51.04
0.5400,279.29,167.53,64.02,60.72,36.85,85.58,47.3,27.06,9.13,4.18,5.61,4.95,0,0,0,0,768.35,23.87
0.5500,279.29,169.51,64.02,62.81,39.05,88,47.3,29.26,6.82,4.18,3.74,0,0,0,0,0,779.24,14.74
0.5600,279.29,169.51,61.71,65.01,39.05,90.31,49.61,29.26,4.51,0,3.74,0,0,0,0,0,783.75,8.25
0.5700,277.31,171.6,59.51,67.1,36.85,90.31,49.61,29.26,4.51,4.18,0,0,0,0,0,0,781.55,8.69
0.5800,273.24,173.69,57.31,67.1,36.85,92.62,47.3,29.26,4.51,0,0,0,0,0,0,0,777.37,4.51
0.5900,271.26,173.69,55.11,69.19,36.85,92.62,45.1,29.26,4.51,0,0,0,0,0,0,0,773.08,4.51
0.6000,269.17,173.69,51.15,69.19,34.65,92.62,42.79,29.26,4.51,0,0,0,0,0,0,0,762.52,4.51
0.6100,267.19,175.78,49.17,71.28,32.56,92.62,40.59,27.06,4.51,0,0,0,0,0,0,0,756.25,4.51
0.6200,265.21,175.78,47.19,71.28,32.56,90.31,36.08,27.06,0,0,0,0,0,0,0,0,745.47,0
0.6300,265.21,175.78,43.23,71.28,30.36,88,33.77,27.06,4.51,0,0,0,0,0,0,0,734.69,4.51
0.6400,265.21,177.87,41.25,71.28,28.16,85.58,31.57,24.75,0,0,0,0,0,0,0,0,725.67,0
